,function,reqID,start,finish,mergingPoint,host,duration
38,Text2SpeechCensoringWorkflow_GetInput,0ff2ab356eb442a186067bf165654e51,2022-05-30 06:32:02.910,2022-05-30 06:32:02.955,,s,45.0
39,Text2SpeechCensoringWorkflow_GetInput,9eeb9f0482294b168721329a9625cbf3,2022-05-30 06:32:01.663,2022-05-30 06:32:01.699,,s,36.0
40,Text2SpeechCensoringWorkflow_GetInput,24895c6f6dae48b7b9adcf6c9f535cbc,2022-05-30 06:32:00.411,2022-05-30 06:32:00.448,,s,37.0
41,Text2SpeechCensoringWorkflow_GetInput,a533b706341346c9a790b2c899685cff,2022-05-30 06:31:59.160,2022-05-30 06:31:59.199,,s,39.0
42,Text2SpeechCensoringWorkflow_GetInput,2bb24017ae2a4e2880bb1c4953fe81d2,2022-05-30 06:31:57.806,2022-05-30 06:31:57.844,,s,38.0
43,Text2SpeechCensoringWorkflow_GetInput,b6b6c6d5a6a74577a722734f694668b2,2022-05-30 06:31:56.546,2022-05-30 06:31:56.581,,s,35.0
44,Text2SpeechCensoringWorkflow_GetInput,04c16ba36c2d47938bcd0e754e4fb2b6,2022-05-30 06:31:55.287,2022-05-30 06:31:55.322,,s,35.0
45,Text2SpeechCensoringWorkflow_GetInput,31ea52938adf4e52a2280498b22ca4a3,2022-05-30 06:31:54.037,2022-05-30 06:31:54.072,,s,35.0
46,Text2SpeechCensoringWorkflow_GetInput,26c9946e3fb642589f044529f426b1ea,2022-05-30 06:31:52.775,2022-05-30 06:31:52.815,,s,40.0
47,Text2SpeechCensoringWorkflow_GetInput,eb2b06ece62e46e7a8772e035a432a1a,2022-05-30 06:31:51.517,2022-05-30 06:31:51.555,,s,38.0
48,Text2SpeechCensoringWorkflow_GetInput,5dca720425c546b68f66d2aa5468ecff,2022-05-30 06:31:50.230,2022-05-30 06:31:50.270,,s,40.0
49,Text2SpeechCensoringWorkflow_GetInput,a828ee43ef414a8787b27281e3f59ea4,2022-05-30 06:31:48.887,2022-05-30 06:31:48.927,,s,40.0
50,Text2SpeechCensoringWorkflow_GetInput,e065cffcee124c969d11ce83eee593f2,2022-05-30 06:31:47.647,2022-05-30 06:31:47.685,,s,38.0
