,Alpha,Cost,ColdStarts,initialDecision,initialDecisionIndex
29,0.0,5.012529029846192e-07,1,"[0, 1, 1, 1, 0, 1]",29
30,0.0,5.012529029846192e-07,1,"[0, 1, 1, 1, 1, 0]",30
31,0.0,5.012529029846192e-07,0,"[0, 1, 1, 1, 1, 1]",31
32,0.0,5.012529029846192e-07,6,"[1, 0, 0, 0, 0, 0]",32
33,0.0,5.012529029846192e-07,5,"[1, 0, 0, 0, 0, 1]",33
34,0.0,5.012529029846192e-07,5,"[1, 0, 0, 0, 1, 0]",34
35,0.0,5.012529029846192e-07,4,"[1, 0, 0, 0, 1, 1]",35
36,0.0,5.012529029846192e-07,5,"[1, 0, 0, 1, 0, 0]",36
37,0.0,5.012529029846192e-07,4,"[1, 0, 0, 1, 0, 1]",37
38,0.0,5.012529029846192e-07,4,"[1, 0, 0, 1, 1, 0]",38
39,0.0,5.012529029846192e-07,3,"[1, 0, 0, 1, 1, 1]",39
40,0.0,5.012529029846192e-07,5,"[1, 0, 1, 0, 0, 0]",40
41,0.0,5.012529029846192e-07,4,"[1, 0, 1, 0, 0, 1]",41
42,0.0,5.012529029846192e-07,4,"[1, 0, 1, 0, 1, 0]",42
43,0.0,5.012529029846192e-07,3,"[1, 0, 1, 0, 1, 1]",43
44,0.0,5.012529029846192e-07,4,"[1, 0, 1, 1, 0, 0]",44
45,0.0,5.012529029846192e-07,3,"[1, 0, 1, 1, 0, 1]",45
46,0.0,5.012529029846192e-07,3,"[1, 0, 1, 1, 1, 0]",46
47,0.0,5.012529029846192e-07,2,"[1, 0, 1, 1, 1, 1]",47
48,0.0,5.012529029846192e-07,5,"[1, 1, 0, 0, 0, 0]",48
49,0.0,5.012529029846192e-07,4,"[1, 1, 0, 0, 0, 1]",49
50,0.0,5.012529029846192e-07,4,"[1, 1, 0, 0, 1, 0]",50
51,0.0,5.012529029846192e-07,3,"[1, 1, 0, 0, 1, 1]",51
52,0.0,5.012529029846192e-07,4,"[1, 1, 0, 1, 0, 0]",52
53,0.0,5.012529029846192e-07,3,"[1, 1, 0, 1, 0, 1]",53
54,0.0,5.012529029846192e-07,3,"[1, 1, 0, 1, 1, 0]",54
55,0.0,5.012529029846192e-07,2,"[1, 1, 0, 1, 1, 1]",55
56,0.0,5.012529029846192e-07,4,"[1, 1, 1, 0, 0, 0]",56
57,0.0,5.012529029846192e-07,3,"[1, 1, 1, 0, 0, 1]",57
58,0.0,5.012529029846192e-07,3,"[1, 1, 1, 0, 1, 0]",58
59,0.0,5.012529029846192e-07,2,"[1, 1, 1, 0, 1, 1]",59
60,0.0,5.012529029846192e-07,3,"[1, 1, 1, 1, 0, 0]",60
61,0.0,5.012529029846192e-07,2,"[1, 1, 1, 1, 0, 1]",61
62,0.0,5.012529029846192e-07,2,"[1, 1, 1, 1, 1, 0]",62
63,0.0,5.012529029846192e-07,1,"[1, 1, 1, 1, 1, 1]",63
64,0.05,5.012529029846192e-07,5,"[0, 0, 0, 0, 0, 0]",0
65,0.05,5.012529029846192e-07,4,"[0, 0, 0, 0, 0, 1]",1
66,0.05,5.012529029846192e-07,4,"[0, 0, 0, 0, 1, 0]",2
67,0.05,5.012529029846192e-07,3,"[0, 0, 0, 0, 1, 1]",3
68,0.05,5.012529029846192e-07,4,"[0, 0, 0, 1, 0, 0]",4
69,0.05,5.012529029846192e-07,3,"[0, 0, 0, 1, 0, 1]",5
70,0.05,5.012529029846192e-07,3,"[0, 0, 0, 1, 1, 0]",6
71,0.05,5.012529029846192e-07,2,"[0, 0, 0, 1, 1, 1]",7
72,0.05,5.012529029846192e-07,4,"[0, 0, 1, 0, 0, 0]",8
73,0.05,5.012529029846192e-07,3,"[0, 0, 1, 0, 0, 1]",9
74,0.05,5.012529029846192e-07,3,"[0, 0, 1, 0, 1, 0]",10
75,0.05,5.012529029846192e-07,2,"[0, 0, 1, 0, 1, 1]",11
76,0.05,5.012529029846192e-07,3,"[0, 0, 1, 1, 0, 0]",12
77,0.05,5.012529029846192e-07,2,"[0, 0, 1, 1, 0, 1]",13
78,0.05,5.012529029846192e-07,2,"[0, 0, 1, 1, 1, 0]",14
79,0.05,5.012529029846192e-07,1,"[0, 0, 1, 1, 1, 1]",15
80,0.05,5.012529029846192e-07,4,"[0, 1, 0, 0, 0, 0]",16
81,0.05,5.012529029846192e-07,3,"[0, 1, 0, 0, 0, 1]",17
82,0.05,5.012529029846192e-07,3,"[0, 1, 0, 0, 1, 0]",18
83,0.05,5.012529029846192e-07,2,"[0, 1, 0, 0, 1, 1]",19
84,0.05,5.012529029846192e-07,3,"[0, 1, 0, 1, 0, 0]",20
85,0.05,5.012529029846192e-07,2,"[0, 1, 0, 1, 0, 1]",21
86,0.05,5.012529029846192e-07,2,"[0, 1, 0, 1, 1, 0]",22
87,0.05,5.012529029846192e-07,1,"[0, 1, 0, 1, 1, 1]",23
88,0.05,5.012529029846192e-07,3,"[0, 1, 1, 0, 0, 0]",24
89,0.05,5.012529029846192e-07,2,"[0, 1, 1, 0, 0, 1]",25
90,0.05,5.012529029846192e-07,2,"[0, 1, 1, 0, 1, 0]",26
91,0.05,5.012529029846192e-07,1,"[0, 1, 1, 0, 1, 1]",27
92,0.05,5.012529029846192e-07,2,"[0, 1, 1, 1, 0, 0]",28
93,0.05,5.012529029846192e-07,1,"[0, 1, 1, 1, 0, 1]",29
94,0.05,5.012529029846192e-07,1,"[0, 1, 1, 1, 1, 0]",30
95,0.05,5.012529029846192e-07,0,"[0, 1, 1, 1, 1, 1]",31
96,0.05,5.012529029846192e-07,6,"[1, 0, 0, 0, 0, 0]",32
97,0.05,5.012529029846192e-07,5,"[1, 0, 0, 0, 0, 1]",33
98,0.05,5.012529029846192e-07,5,"[1, 0, 0, 0, 1, 0]",34
99,0.05,5.012529029846192e-07,4,"[1, 0, 0, 0, 1, 1]",35
100,0.05,5.012529029846192e-07,5,"[1, 0, 0, 1, 0, 0]",36
101,0.05,5.012529029846192e-07,4,"[1, 0, 0, 1, 0, 1]",37
