,Alpha,Cost,ColdStarts,Cores,Mem
1337,0.4,7.813011611938478e-06,2,1000,5000
1338,0.4,7.813011611938478e-06,2,1000,5000
1339,0.4,7.813011611938478e-06,3,1000,5000
1340,0.4,7.813011611938478e-06,2,1000,5000
1341,0.4,7.813011611938478e-06,3,1000,5000
1342,0.4,7.813011611938478e-06,3,1000,5000
1343,0.4,7.813011611938478e-06,4,1000,5000
1344,0.6,1.2650264514923099e-05,0,1000,5000
1345,0.6,1.0250264514923098e-05,0,1000,5000
1346,0.6,1.0250264514923098e-05,0,1000,5000
1347,0.6,7.813011611938478e-06,0,1000,5000
1348,0.6,1.0250264514923098e-05,0,1000,5000
1349,0.6,7.850264514923097e-06,0,1000,5000
1350,0.6,7.813011611938478e-06,0,1000,5000
1351,0.6,7.813011611938478e-06,1,1000,5000
1352,0.6,1.0250264514923098e-05,0,1000,5000
1353,0.6,7.850264514923097e-06,0,1000,5000
1354,0.6,7.850264514923097e-06,0,1000,5000
1355,0.6,7.813011611938478e-06,1,1000,5000
1356,0.6,7.813011611938478e-06,0,1000,5000
1357,0.6,7.813011611938478e-06,1,1000,5000
1358,0.6,7.813011611938478e-06,1,1000,5000
1359,0.6,7.813011611938478e-06,2,1000,5000
1360,0.6,1.0250264514923098e-05,0,1000,5000
1361,0.6,7.850264514923097e-06,0,1000,5000
1362,0.6,7.850264514923097e-06,0,1000,5000
1363,0.6,7.813011611938478e-06,1,1000,5000
1364,0.6,7.850264514923097e-06,0,1000,5000
1365,0.6,7.850264514923097e-06,1,1000,5000
1366,0.6,7.813011611938478e-06,1,1000,5000
1367,0.6,7.813011611938478e-06,2,1000,5000
1368,0.6,7.813011611938478e-06,0,1000,5000
1369,0.6,7.813011611938478e-06,1,1000,5000
1370,0.6,7.813011611938478e-06,1,1000,5000
1371,0.6,7.813011611938478e-06,2,1000,5000
1372,0.6,7.813011611938478e-06,1,1000,5000
1373,0.6,7.813011611938478e-06,2,1000,5000
1374,0.6,7.813011611938478e-06,2,1000,5000
1375,0.6,7.813011611938478e-06,3,1000,5000
1376,0.6,1.2650264514923099e-05,1,1000,5000
1377,0.6,1.0250264514923098e-05,1,1000,5000
1378,0.6,1.0250264514923098e-05,1,1000,5000
1379,0.6,7.813011611938478e-06,1,1000,5000
1380,0.6,1.0250264514923098e-05,1,1000,5000
1381,0.6,7.850264514923097e-06,1,1000,5000
1382,0.6,7.813011611938478e-06,1,1000,5000
1383,0.6,7.813011611938478e-06,2,1000,5000
1384,0.6,1.0250264514923098e-05,1,1000,5000
1385,0.6,7.850264514923097e-06,1,1000,5000
1386,0.6,7.850264514923097e-06,1,1000,5000
1387,0.6,7.813011611938478e-06,2,1000,5000
1388,0.6,7.813011611938478e-06,1,1000,5000
1389,0.6,7.813011611938478e-06,2,1000,5000
1390,0.6,7.813011611938478e-06,2,1000,5000
1391,0.6,7.813011611938478e-06,3,1000,5000
1392,0.6,1.0250264514923098e-05,1,1000,5000
1393,0.6,7.850264514923097e-06,1,1000,5000
1394,0.6,7.850264514923097e-06,1,1000,5000
1395,0.6,7.813011611938478e-06,2,1000,5000
1396,0.6,7.850264514923097e-06,1,1000,5000
1397,0.6,7.850264514923097e-06,2,1000,5000
1398,0.6,7.813011611938478e-06,2,1000,5000
1399,0.6,7.813011611938478e-06,3,1000,5000
1400,0.6,7.813011611938478e-06,1,1000,5000
