,start
0,2022-10-18 01:56:30.567
1,2022-10-18 01:56:30.074
2,2022-10-18 01:56:24.990
3,2022-10-18 01:56:24.567
4,2022-10-18 01:56:24.074
5,2022-10-18 01:56:18.991
6,2022-10-18 01:56:18.567
7,2022-10-18 01:56:18.073
8,2022-10-18 01:56:12.989
9,2022-10-18 01:56:12.569
10,2022-10-18 01:56:12.074
11,2022-10-18 01:56:06.991
12,2022-10-18 01:56:06.569
13,2022-10-18 01:56:06.073
14,2022-10-18 01:56:00.989
15,2022-10-18 01:56:00.568
16,2022-10-18 01:56:00.073
17,2022-10-18 01:55:54.990
18,2022-10-18 01:55:54.568
19,2022-10-18 01:55:54.074
20,2022-10-18 01:55:49.053
21,2022-10-18 01:55:48.569
22,2022-10-18 01:55:48.074
23,2022-10-18 01:55:42.990
24,2022-10-18 01:55:42.568
25,2022-10-18 01:55:42.073
26,2022-10-18 01:55:36.990
27,2022-10-18 01:55:36.569
28,2022-10-18 01:55:36.074
29,2022-10-18 01:55:30.990
30,2022-10-18 01:55:30.567
31,2022-10-18 01:55:30.071
32,2022-10-18 01:55:24.990
33,2022-10-18 01:55:24.567
34,2022-10-18 01:55:24.073
35,2022-10-18 01:55:18.989
36,2022-10-18 01:55:18.567
37,2022-10-18 01:55:18.074
38,2022-10-18 01:55:12.992
39,2022-10-18 01:55:12.568
40,2022-10-18 01:55:12.075
41,2022-10-18 01:55:07.050
42,2022-10-18 01:55:06.574
43,2022-10-18 01:55:06.078
44,2022-10-18 01:55:01.091
45,2022-10-18 01:55:00.638
46,2022-10-18 01:55:00.169
47,2022-10-18 02:00:33.181
48,2022-10-18 02:00:33.032
49,2022-10-18 02:00:30.985
50,2022-10-18 02:00:27.182
51,2022-10-18 02:00:27.033
52,2022-10-18 02:00:24.985
53,2022-10-18 02:00:21.182
54,2022-10-18 02:00:21.033
55,2022-10-18 02:00:18.984
56,2022-10-18 02:00:15.182
57,2022-10-18 02:00:15.034
58,2022-10-18 02:00:12.984
59,2022-10-18 02:00:09.181
60,2022-10-18 02:00:09.057
61,2022-10-18 02:00:07.003
62,2022-10-18 02:00:03.244
63,2022-10-18 01:56:30.991
